ID,Region_of_residence,Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Time_spent_on_social_media,Prefered_social_media_platform,Time_spent_on_TV,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Stress_busters,Time_utilized,Do_you_find_yourself_more_connected_with_your_family_close_friends _relatives,What_you_miss_the_most,,,Social_Platform
R86,Delhi-NCR,19,2,Very poor,Tablet,2,1,8,5,6,0,4,Decreased,0,Scrolling through social media,0,1,Roaming around freely,,,
R87,Delhi-NCR,20,5,Average,Smartphone,3,1,7,1.5,6,0,3,Increased,1,drawing ,1,1,School/college,,,
R88,Outside Delhi-NCR,21,4,Very poor,Smartphone,3,1,8,1,1,0,3,Decreased,0,Meditation,0,0,All of them,,,
R89,Delhi-NCR,18,3,Very poor,Smartphone,4,1,7,1,7,0,4,Remain Constant,1,Listening to music,0,0,Eating outside,,,
R90,Outside Delhi-NCR,19,4,Average,Smartphone,3,1,7,3,6,2,3,Increased,0,Listening to music,1,1,School/college,,,
R91,Outside Delhi-NCR,25,4,Very poor,Smartphone,3,1,7,1,6,0,3,Remain Constant,1,Cricket,0,0,Eating outside,,,
R92,Delhi-NCR,19,0,Very poor,Smartphone,4,1,8,1,7,0,3,Increased,0,Listening to music,0,1,School/college,,,
R93,Delhi-NCR,19,4,Very poor,Laptop/Desktop,0,0,8,2,6,1.5,3,Increased,1,Anime Manga,0,0,School/college,,,
R94,Delhi-NCR,20,4,Good,Smartphone,2,2,8,6,6,0,3,Decreased,0,Sleeping,1,1,School/college,,,
R95,Delhi-NCR,20,2,Average,Smartphone,3,1,5,4,6,1,3,Increased,0,Listening to music,0,1,School/college,,,
R96,Delhi-NCR,19,5,Good,Tablet,3,1,8,2,8,0,2,Remain Constant,0,Reading,0,1,Travelling,,,
R97,Delhi-NCR,19,3,Average,Smartphone,1,0,10,4,7,0,3,Remain Constant,0,Listening to music,0,1,School/college,,,
R98,Delhi-NCR,22,2,Average,Smartphone,0,0,12,4,6,2,3,Increased,0,Online gaming,0,1,Eating outside,,,
R99,Outside Delhi-NCR,21,1,Good,Smartphone,3,2,10,1,5,2,4,Increased,1,Meditation,0,1,Colleagues,,,
R100,Delhi-NCR,21,1,Very poor,Smartphone,2,1,8,1,7,0,3,Increased,0,Listening to music,0,0,School/college,,,
R101,Outside Delhi-NCR,16,6,Poor,Smartphone,2,2,7,2,5,1,3,Remain Constant,0,Scrolling through social media,1,1,Travelling,,,
R102,Outside Delhi-NCR,21,3,Average,Laptop/Desktop,5,0,8,7,1,1,2,Remain Constant,0,Watching web series,0,1,School/college,,,
R103,Outside Delhi-NCR,21,4,Very poor,Smartphone,4,1,7,1,7,0,4,Decreased,1,Listening to music,1,0,Travelling,,,
R104,Outside Delhi-NCR,16,3,Very poor,Smartphone,3,1,7,3,5,1,2,Remain Constant,0,Listening to music,0,0,Friends and School,,,
R105,Delhi-NCR,21,2,Very poor,Smartphone,7,2,8,0.5,6,0,5,Increased,0,Reading books,1,1,Gym,,,
R106,Outside Delhi-NCR,23,4,Excellent,Laptop/Desktop,6,1,8,0.3,7,0,3,Increased,0,Talking to your relatives,1,0,Travelling,,,
R107,Delhi-NCR,19,2,Very poor,Smartphone,1.5,1,7,2,5,N,2,Remain Constant,0,Listening to music,0,0,School/college,,,
R108,Delhi-NCR,20,1,Very poor,Smartphone,2,1,8,1,6,0,3,Increased,0,Listening to music,0,0,School/college,,,
R109,Delhi-NCR,18,2,Very poor,Smartphone,3,1,8,1,6,1,3,Decreased,0,Listening to music,1,1,Roaming around freely,,,
R110,Outside Delhi-NCR,10,3,Good,Tablet,3,0,10,1,5,4,3,Remain Constant,0,Online gaming,1,0,Colleagues,,,
R111,Outside Delhi-NCR,20,0,Very poor,Smartphone,2,2,8,0.15,1,0.3,2,Decreased,0,Talking to your relatives,1,1,School/college,,,
R112,Delhi-NCR,21,3,Average,Smartphone,3,0,11,2,7,N,2,Increased,1,Sleep,0,1,School/college,,,
R113,Delhi-NCR,19,1,Very poor,Smartphone,4,1,8,1,5,0,4,Remain Constant,0,Sleep,0,1,School/college,,,
R114,Outside Delhi-NCR,14,5,Average,Laptop/Desktop,4,1,7,4,6,1,5,Increased,0,Scrolling through social media,0,0,"Friends,Romaing and traveling",,,
R115,Delhi-NCR,18,2,Very poor,Smartphone,3,1,10,2,7,0,3,Remain Constant,0,Online gaming,0,1,School/college,,,
R116,Delhi-NCR,18,3,Very poor,Smartphone,6,0,7,3,5,1,3,Remain Constant,0,Reading books,1,0,School/college,,,
R117,Outside Delhi-NCR,24,4,Excellent,Laptop/Desktop,8,1,8,2,5,2,3,Increased,0,Online surfing,1,1,"Friends , relatives",,,
R118,Outside Delhi-NCR,14,3,Good,Smartphone,5,1,12,0.3,6,1,3,Remain Constant,0,Sleeping,1,1,Colleagues,,,
R119,Outside Delhi-NCR,21,4,Good,Laptop/Desktop,2,2,7,2,6,1,3,Increased,0,Dancing,1,1,Travelling,,,
R120,Delhi-NCR,19,2,Average,Smartphone,6,1,6,1,6,0,3,Increased,0,Watching web series,0,1,School/college,,,
R121,Delhi-NCR,18,2.5,Average,Smartphone,2,1,8,1,5,0,4,Remain Constant,0,Listening to music,0,1,Travelling,,,
R122,Outside Delhi-NCR,23,6,Average,Laptop/Desktop,5,1,6,1,1,0,3,Remain Constant,0,Meditation,1,1,School/college,,,
R123,Outside Delhi-NCR,21,4,Average,Smartphone,4,1,8,1,5,0,3,Remain Constant,0,Meditation,1,1,"Friends , relatives",,,
R124,Delhi-NCR,18,5,Very poor,Smartphone,3,0,9,7,7,0,3,Increased,0,Watching web series,1,0,Roaming around freely,,,
R125,Delhi-NCR,19,1,Very poor,Smartphone,2,0,7,1,7,0,2,Increased,1,Sleep,0,0,School/college,,,
R126,Outside Delhi-NCR,20,5,Average,Smartphone,4,1,7,2,7,1,3,Increased,0,Meditation,1,1,School/college,,,
R127,Delhi-NCR,20,2,Average,Smartphone,3,0.5,6.5,1,7,0.5,3,Remain Constant,0,Listening to music,1,1,Roaming around freely,,,
R128,Delhi-NCR,19,2,Very poor,Smartphone,4,1,8,2,5,0,4,Decreased,0,Sketching and writing,0,0,Roaming around freely,,,
R129,Outside Delhi-NCR,15,1,Good,Smartphone,3,1,6,4,7,1.5,4,Increased,0,Listening to music,1,1,School/college,,,
R130,Delhi-NCR,19,0,NA,NA,1,3,8,5,6,1,1,Decreased,0,Listening to music,0,1,Eating outside,,,
R131,Outside Delhi-NCR,20,3,Very poor,Smartphone,3,0,9,2,5,2,2,Decreased,0,Meditation,1,1,Travelling,,,
R132,Delhi-NCR,17,6,Average,Laptop/Desktop,4,1,8,1,5,1,2,Remain Constant,0,Listening to music,0,1,School/college,,,
R133,Delhi-NCR,18,2,Very poor,Smartphone,2,1,9,2,1,2,2,Increased,0,Watching web series,1,1,Travelling,,,
R134,Delhi-NCR,20,2,Very poor,Smartphone,4,0,10,4,7,2,3,Decreased,0,Cooking,0,1,School/college,,,
R135,Delhi-NCR,18,5,Average,Smartphone,1,1,8,1,5,0,4,Increased,0,Sleep,1,1,Roaming around freely,,,
R136,Delhi-NCR,22,0.1,Poor,Smartphone,2.5,1,12,0.3,5,0,5,Increased,0,Online gaming,0,1,Only friends,,,
R137,Delhi-NCR,18,3,Very poor,Smartphone,5,1,7,2,5,0,3,Remain Constant,0,Online gaming,0,1,Roaming around freely,,,
R138,Delhi-NCR,15,4,Average,Smartphone,2,0.5,6,1,7,1,3,Remain Constant,0,Dancing,0,1,Eating outside,,,
R139,Outside Delhi-NCR,22,1,Very poor,Laptop/Desktop,10,1,7,1,7,0,3,Remain Constant,0,Writing,1,1,Roaming around freely,,,
R140,Delhi-NCR,19,3,Very poor,Laptop/Desktop,2,1,9,1,5,0,3,Decreased,0,Online gaming,0,1,School/college,,,
R141,Delhi-NCR,20,3,Very poor,Smartphone,5,0,7,2,6,1,2,Remain Constant,1,Watching web series,1,1,School/college,,,
R142,Outside Delhi-NCR,20,3,Very poor,Smartphone,3,0,9,2,5,2,2,Decreased,0,Meditation,1,1,Travelling,,,
R143,Delhi-NCR,20,1,Very poor,Smartphone,1,0,6,0,0,0,2,Increased,0,Sleep,1,1,School/college,,,
R144,Delhi-NCR,18,2,Poor,Smartphone,6,1,7,1,5,1,2,Increased,0,Listening to music,1,1,"Friends , relatives",,,
R145,Delhi-NCR,19,2,Very poor,Smartphone,2,2,8,2,5,3,2,Increased,0,Watching web series,1,1,Eating outside,,,
R146,Outside Delhi-NCR,14,4,Average,Smartphone,2,1,8,2,7,1,3,Remain Constant,0,Listening to music,1,0,"Friends , relatives",,,
R147,Delhi-NCR,20,6,Average,Laptop/Desktop,1,1,6,1,1,0,3,Increased,1,Talking to your relatives,1,1,School/college,,,
R148,Delhi-NCR,20,3,Average,Laptop/Desktop,2,1,8,2,1,2,3,Remain Constant,0,Listening to music,0,0,Roaming around freely,,,
R149,Delhi-NCR,19,6,Very poor,Smartphone,3,0,7,2,7,0.5,2,Increased,1,Online gaming,0,1,"Friends , relatives",,,
R150,Delhi-NCR,19,1,Average,Laptop/Desktop,1,1,10,1,6,0,3,Remain Constant,0,Listening to music,1,1,Eating outside,,,
R151,Delhi-NCR,18,2,Very poor,Smartphone,2,1,10,2,7,0,3,Remain Constant,0,Listening to music,0,0,Eating outside,,,
R152,Outside Delhi-NCR,21,4,Very poor,Smartphone,4,1,8,2,6,0,3,Increased,0,Sleep,0,1,Roaming around freely,,,
R153,Outside Delhi-NCR,15,4,Average,Smartphone,7,2,6,1,6,1,4,Remain Constant,0,Listening to music,1,1,"Friends , relatives",,,
R154,Delhi-NCR,20,5,Very poor,Tablet,3,1,8,2,7,3,4,Increased,0,Listening to music,0,0,Roaming around freely,,,
R155,Outside Delhi-NCR,21,1,Very poor,Smartphone,3,0,6,1,6,1,1,Decreased,1,Reading books,0,1,Eating outside,,,
R156,Delhi-NCR,19,0.5,Very poor,Smartphone,7,2,7,0.1,6,0,4,Remain Constant,1,Listening to music,1,1,"Friends , relatives",,,
R157,Delhi-NCR,20,3,Very poor,Laptop/Desktop,1,0,6,2,3,0,2,Increased,0,pubg,0,1,Eating outside,,,
R158,Delhi-NCR,21,5,Average,Smartphone,1,0,5,1,7,0,2,Decreased,0,Online gaming,0,0,Travelling,,,
R159,Delhi-NCR,21,4,Excellent,Laptop/Desktop,6,2,6,1,5,1,3,Remain Constant,0,Cooking,1,1,Eating outside,,,
R160,Delhi-NCR,21,3,Very poor,Smartphone,2,0,7,2,2,0,3,Increased,1,Reading books,0,1,School/college,,,
R161,Delhi-NCR,20,4,Average,Laptop/Desktop,2,0,7,2,8,4,3,Increased,0,Online gaming,0,0,"Friends , relatives",,,
R162,Outside Delhi-NCR,20,6,Very poor,Smartphone,3,0,8,4,1,2,3,Increased,1,Sleep,0,1,School/college,,,
R163,Outside Delhi-NCR,23,0,Very poor,Laptop/Desktop,1,0,10,4,1,0,4,Increased,0,Online gaming,0,1,Travelling,,,
R164,Outside Delhi-NCR,21,4,Very poor,Smartphone,3,1,8,1,5,1,3,Remain Constant,1,Online surfing,0,1,"Friends , relatives",,,
R165,Delhi-NCR,22,1,Very poor,Smartphone,4,1,7,2,1,0,2,Increased,1,Watching web series,0,0,Roaming around freely,,,
R166,Delhi-NCR,23,3,Good,Tablet,0,0,12,4,6,0,2,Increased,0,Cooking,0,0,Travelling,,,
R167,Delhi-NCR,22,4,Good,Smartphone,4,0.5,8,2,7,0,3,Increased,0,Sleeping,1,0,School/college,,,
R168,Outside Delhi-NCR,21,0,Very poor,Smartphone,1,0,7,10,7,0,7,Increased,0,Listening to music,0,1,School/college,,,
R169,Outside Delhi-NCR,20,0,Very poor,Smartphone,3,2,12,1,6,0,3,Increased,0,Scrolling through social media,0,0,School/college,,,
R170,Outside Delhi-NCR,15,4,Average,Smartphone,2,3,7,1,6,2,4,Increased,0,Online gaming,0,1,"Friends , relatives",,,
R171,Outside Delhi-NCR,20,0,Very poor,Smartphone,3,2,8,2,7,1,3,Remain Constant,1,Listening to music,1,1,School/college,,,
R172,Outside Delhi-NCR,20,0,Very poor,Smartphone,1,0,8,0.5,7,1,3,Decreased,1,Reading books,0,1,Roaming around freely,,,
R173,Outside Delhi-NCR,16,4,Excellent,Laptop/Desktop,3,2,10,1,5,1,3,Increased,0,Online gaming,1,1,"Friends , relatives",,,
R174,Outside Delhi-NCR,22,1,Average,Smartphone,3,1,7,1,7,0,3,Remain Constant,0,Sleep,0,1,School/college,,,
R175,Delhi-NCR,20,5,Average,Laptop/Desktop,4,0,10,2,1,4,3,Decreased,0,Sleep,1,1,Roaming around freely,,,
R176,Outside Delhi-NCR,21,0,Good,Smartphone,4,1,8,2,6,0,2,Decreased,1,Online gaming,1,1,Colleagues,,,
R177,Outside Delhi-NCR,34,3,Good,Laptop/Desktop,3,1,7,1,7,2,3,Remain Constant,0,Sleeping,1,1,Travelling,,,
R178,Outside Delhi-NCR,22,0,Average,Laptop/Desktop,3,1,9,0,4,2,5,Decreased,0,Watching web series,0,1,Roaming around freely,,,
R179,Delhi-NCR,22,6,Good,Laptop/Desktop,2,1,8,4,6,0,4,Remain Constant,0,Online gaming,0,1,Colleagues,,,
R180,Outside Delhi-NCR,21,1,Average,Laptop/Desktop,1,2,7,2,5,1,4,Increased,0,Listening to music,0,1,"Friends , relatives",,,
R181,Outside Delhi-NCR,20,1,Very poor,Smartphone,2,1,8,3,7,0,3,Remain Constant,0,Watching web series,1,0,"Friends , relatives",,,
R182,Outside Delhi-NCR,21,3,Average,Smartphone,0.5,3,6,2,6,0,3,Remain Constant,0,Online gaming,1,1,School/college,,,
R183,Outside Delhi-NCR,19,2,Very poor,Smartphone,2,1,8,2,6,2,3,Increased,1,Listening to music,1,1,Roaming around freely,,,
R184,Outside Delhi-NCR,22,1,Very poor,Smartphone,7,0,7,1,3,0,3,Remain Constant,0,Talking to your relatives,1,1,"Friends , relatives",,,
R185,Outside Delhi-NCR,20,3,Very poor,Laptop/Desktop,1.5,1,6,2,9,1.5,2,Decreased,1,Watching web series,0,0,"Friends , relatives",,,
R186,Outside Delhi-NCR,14,4,Very poor,Smartphone,1,0,9,1.5,7,5,3,Remain Constant,0,Reading books,0,1,"Friends , relatives",,,
R187,Delhi-NCR,22,1,Average,Smartphone,4,0.5,11,1,6,0,3,Remain Constant,1,Listening to music,0,0,School/college,,,
R188,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,5,0,8,3,6,1,3,Increased,0,Listening to music,1,1,School/college,,,
R189,Delhi-NCR,19,2,Poor,Smartphone,10,0.25,8,2,6,0,3,Increased,0,Talking to your relatives,1,1,School/college,,,
R190,Outside Delhi-NCR,21,1,Average,Smartphone,0,1,6,2,7,0,2,Decreased,0,Online gaming,0,1,School/college,,,
R191,Outside Delhi-NCR,15,5,Average,Smartphone,5,0,7,3,6,2,3,Remain Constant,0,Watching web series,0,1,School/college,,,
R192,Outside Delhi-NCR,21,3,Good,Laptop/Desktop,3,0.5,8,4,5,0,3,Remain Constant,0,Web Series,0,1,Colleagues,,,
R193,Delhi-NCR,21,3,Very poor,Smartphone,8,3,7,3,5,0,3,Decreased,1,Talking to your relatives,0,0,School/college,,,
R194,Outside Delhi-NCR,34,3,Average,Laptop/Desktop,3,1,8,1,7,1,3,Remain Constant,0,Talking to your relatives,1,1,Travelling,,,
R195,Outside Delhi-NCR,22,3,Very poor,Laptop/Desktop,0,5,8,10,2,0,3,Remain Constant,0,Talking to your relatives,0,1,"Friends , relatives",,,
