Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Prefered_social_media_platform,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Time_utilized,Family_Relation,Mental_Health,Time_spent_on_social_media
19,2.0,3,3,2.0,1.0,8.0,6,4,2,0,0,1,0,5
20,2.0,3,2,3.0,1.0,6.0,6,4,1,0,0,0,1,2
22,6.0,3,2,4.0,0.0,7.0,7,1,1,0,0,0,1,2
20,2.0,3,2,2.0,0.0,7.0,7,2,0,0,0,0,0,3
19,1.0,4,1,0.5,1.0,7.0,6,3,0,0,0,1,0,5
18,3.0,3,2,2.0,2.0,8.0,6,4,0,0,0,1,0,8
19,3.0,4,2,5.0,0.0,5.0,4,2,1,1,1,0,0,4
19,0.0,3,2,1.0,1.0,8.0,6,3,2,0,1,1,1,2
20,3.0,4,1,3.0,0.0,10.0,3,3,1,0,0,0,0,10
20,3.0,2,1,0.0,1.0,8.0,5,3,1,0,0,1,0,5
19,1.0,1,1,4.0,0.0,8.0,0,4,1,0,1,1,1,2
21,5.0,4,1,5.0,0.0,8.0,6,2,1,1,0,1,0,7
21,3.0,1,2,2.0,1.0,10.0,5,3,0,0,0,0,1,1
19,2.0,3,2,2.0,0.5,9.0,6,2,1,0,1,1,0,3
20,0.0,3,1,1.0,1.0,12.0,6,2,1,0,0,1,1,2
21,1.0,5,2,8.0,0.0,10.0,7,3,2,0,1,1,1,1
19,2.0,3,3,2.0,1.0,8.0,6,4,2,0,0,1,0,5
20,5.0,4,2,3.0,1.0,7.0,6,3,1,1,1,1,1,1
21,4.0,3,2,3.0,1.0,8.0,1,3,2,0,0,0,1,1
18,3.0,3,2,4.0,1.0,7.0,7,4,0,1,0,0,1,1
19,4.0,4,2,3.0,1.0,7.0,6,3,1,0,1,1,0,3
25,4.0,3,2,3.0,1.0,7.0,6,3,0,1,0,0,1,1
19,0.0,3,2,4.0,1.0,8.0,7,3,1,0,0,1,1,1
19,4.0,3,1,0.0,0.0,8.0,6,3,1,1,0,0,1,2
20,4.0,1,2,2.0,2.0,8.0,6,3,2,0,1,1,0,6
20,2.0,4,2,3.0,1.0,5.0,6,3,1,0,0,1,0,4
19,5.0,1,3,3.0,1.0,8.0,8,2,0,0,0,1,1,2
19,3.0,4,2,1.0,0.0,10.0,7,3,0,0,0,1,0,4
22,2.0,4,2,0.0,0.0,12.0,6,3,1,0,0,1,0,4
21,1.0,1,2,3.0,2.0,10.0,5,4,1,1,0,1,1,1
21,1.0,3,2,2.0,1.0,8.0,7,3,1,0,0,0,1,1
16,6.0,5,2,2.0,2.0,7.0,5,3,0,0,1,1,1,2
21,3.0,4,1,5.0,0.0,8.0,1,2,0,0,0,1,0,7
21,4.0,3,2,4.0,1.0,7.0,7,4,2,1,1,0,1,1
16,3.0,3,2,3.0,1.0,7.0,5,2,0,0,0,0,0,3
21,2.0,3,2,7.0,2.0,8.0,6,5,1,0,1,1,1,0
23,4.0,2,1,6.0,1.0,8.0,7,3,1,0,1,0,1,0
19,2.0,3,2,1.5,1.0,7.0,5,2,0,0,0,0,1,2
20,1.0,3,2,2.0,1.0,8.0,6,3,1,0,0,0,1,1
18,2.0,3,2,3.0,1.0,8.0,6,3,2,0,1,1,1,1
10,3.0,1,3,3.0,0.0,10.0,5,3,0,0,1,0,0,1
20,0.0,3,2,2.0,2.0,8.0,1,2,2,0,1,1,1,0
21,3.0,4,2,3.0,0.0,11.0,7,2,1,1,0,1,1,2
19,1.0,3,2,4.0,1.0,8.0,5,4,0,0,0,1,1,1
14,5.0,4,1,4.0,1.0,7.0,6,5,1,0,0,0,0,4
18,2.0,3,2,3.0,1.0,10.0,7,3,0,0,0,1,1,2
18,3.0,3,2,6.0,0.0,7.0,5,3,0,0,1,0,0,3
24,4.0,2,1,8.0,1.0,8.0,5,3,1,0,1,1,1,2
14,3.0,1,2,5.0,1.0,12.0,6,3,0,0,1,1,1,0
21,4.0,1,1,2.0,2.0,7.0,6,3,1,0,1,1,1,2
19,2.0,4,2,6.0,1.0,6.0,6,3,1,0,0,1,1,1
18,2.5,4,2,2.0,1.0,8.0,5,4,0,0,0,1,1,1
23,6.0,4,1,5.0,1.0,6.0,1,3,0,0,1,1,1,1
21,4.0,4,2,4.0,1.0,8.0,5,3,0,0,1,1,1,1
18,5.0,3,2,3.0,0.0,9.0,7,3,1,0,1,0,0,7
19,1.0,3,2,2.0,0.0,7.0,7,2,1,1,0,0,1,1
20,5.0,4,2,4.0,1.0,7.0,7,3,1,0,1,1,1,2
20,2.0,4,2,3.0,0.5,6.5,7,3,0,0,1,1,1,1
19,2.0,3,2,4.0,1.0,8.0,5,4,2,0,0,0,1,2
15,1.0,1,2,3.0,1.0,6.0,7,4,1,0,1,1,0,4
19,0.0,0,0,1.0,3.0,8.0,6,1,2,0,0,1,0,5
20,3.0,3,2,3.0,0.0,9.0,5,2,2,0,1,1,1,2
17,6.0,4,1,4.0,1.0,8.0,5,2,0,0,0,1,1,1
18,2.0,3,2,2.0,1.0,9.0,1,2,1,0,1,1,1,2
20,2.0,3,2,4.0,0.0,10.0,7,3,2,0,0,1,0,4
18,5.0,4,2,1.0,1.0,8.0,5,4,1,0,1,1,1,1
22,0.1,5,2,2.5,1.0,12.0,5,5,1,0,0,1,1,0
18,3.0,3,2,5.0,1.0,7.0,5,3,0,0,0,1,1,2
15,4.0,4,2,2.0,0.5,6.0,7,3,0,0,0,1,1,1
22,1.0,3,1,10.0,1.0,7.0,7,3,0,0,1,1,1,1
19,3.0,3,1,2.0,1.0,9.0,5,3,2,0,0,1,1,1
20,3.0,3,2,5.0,0.0,7.0,6,2,0,1,1,1,1,2
20,3.0,3,2,3.0,0.0,9.0,5,2,2,0,1,1,1,2
20,1.0,3,2,1.0,0.0,6.0,0,2,1,0,1,1,1,0
18,2.0,5,2,6.0,1.0,7.0,5,2,1,0,1,1,1,1
19,2.0,3,2,2.0,2.0,8.0,5,2,1,0,1,1,0,2
14,4.0,4,2,2.0,1.0,8.0,7,3,0,0,1,0,1,2
20,6.0,4,1,1.0,1.0,6.0,1,3,1,1,1,1,1,1
20,3.0,4,1,2.0,1.0,8.0,1,3,0,0,0,0,1,2
19,6.0,3,2,3.0,0.0,7.0,7,2,1,1,0,1,1,2
19,1.0,4,1,1.0,1.0,10.0,6,3,0,0,1,1,1,1
18,2.0,3,2,2.0,1.0,10.0,7,3,0,0,0,0,1,2
21,4.0,3,2,4.0,1.0,8.0,6,3,1,0,0,1,1,2
15,4.0,4,2,7.0,2.0,6.0,6,4,0,0,1,1,1,1
20,5.0,3,3,3.0,1.0,8.0,7,4,1,0,0,0,0,2
21,1.0,3,2,3.0,0.0,6.0,6,1,2,1,0,1,1,1
19,0.5,3,2,7.0,2.0,7.0,6,4,0,1,1,1,1,0
20,3.0,3,1,1.0,0.0,6.0,3,2,1,0,0,1,1,2
21,5.0,4,2,1.0,0.0,5.0,7,2,2,0,0,0,1,1
21,4.0,2,1,6.0,2.0,6.0,5,3,0,0,1,1,1,1
21,3.0,3,2,2.0,0.0,7.0,2,3,1,1,0,1,1,2
20,4.0,4,1,2.0,0.0,7.0,8,3,1,0,0,0,0,2
20,6.0,3,2,3.0,0.0,8.0,1,3,1,1,0,1,0,4
23,0.0,3,1,1.0,0.0,10.0,1,4,1,0,0,1,0,4
21,4.0,3,2,3.0,1.0,8.0,5,3,0,1,0,1,1,1
22,1.0,3,2,4.0,1.0,7.0,1,2,1,1,0,0,1,2
23,3.0,1,3,0.0,0.0,12.0,6,2,1,0,0,0,0,4
22,4.0,1,2,4.0,0.5,8.0,7,3,1,0,1,0,1,2
21,0.0,3,2,1.0,0.0,7.0,7,7,1,0,0,1,0,10
20,0.0,3,2,3.0,2.0,12.0,6,3,1,0,0,0,1,1
15,4.0,4,2,2.0,3.0,7.0,6,4,1,0,0,1,1,1
20,0.0,3,2,3.0,2.0,8.0,7,3,0,1,1,1,1,2
20,0.0,3,2,1.0,0.0,8.0,7,3,2,1,0,1,1,0
16,4.0,2,1,3.0,2.0,10.0,5,3,1,0,1,1,1,1
22,1.0,4,2,3.0,1.0,7.0,7,3,0,0,0,1,1,1
20,5.0,4,1,4.0,0.0,10.0,1,3,2,0,1,1,0,2
21,0.0,1,2,4.0,1.0,8.0,6,2,2,1,1,1,1,2
34,3.0,1,1,3.0,1.0,7.0,7,3,0,0,1,1,1,1
22,0.0,4,1,3.0,1.0,9.0,4,5,2,0,0,1,1,0
22,6.0,1,1,2.0,1.0,8.0,6,4,0,0,0,1,0,4
21,1.0,4,1,1.0,2.0,7.0,5,4,1,0,0,1,1,2
20,1.0,3,2,2.0,1.0,8.0,7,3,0,0,1,0,0,3
21,3.0,4,2,0.5,3.0,6.0,6,3,0,0,1,1,1,2
19,2.0,3,2,2.0,1.0,8.0,6,3,1,1,1,1,1,2
22,1.0,3,2,7.0,0.0,7.0,3,3,0,0,1,1,1,1
20,3.0,3,1,1.5,1.0,6.0,9,2,2,1,0,0,1,2
14,4.0,3,2,1.0,0.0,9.0,7,3,0,0,0,1,0,1
22,1.0,4,2,4.0,0.5,11.0,6,3,0,1,0,0,1,1
22,2.0,4,1,5.0,0.0,8.0,6,3,1,0,1,1,0,3
19,2.0,5,2,10.0,0.25,8.0,6,3,1,0,1,1,1,2
21,1.0,4,2,0.0,1.0,6.0,7,2,2,0,0,1,1,2
15,5.0,4,2,5.0,0.0,7.0,6,3,0,0,0,1,0,3
21,3.0,1,1,3.0,0.5,8.0,5,3,0,0,0,1,0,4
21,3.0,3,2,8.0,3.0,7.0,5,3,2,1,0,0,0,3
34,3.0,4,1,3.0,1.0,8.0,7,3,0,0,1,1,1,1
34,1.5,5,1,1.0,0.0,6.0,1,2,0,1,0,0,1,1
21,4.0,1,1,4.0,1.0,7.0,6,3,0,0,1,1,1,2
20,3.0,4,1,3.0,1.0,7.0,6,3,0,0,1,1,1,1
20,3.0,3,1,5.0,0.0,7.5,7,4,1,0,1,0,1,2
25,2.0,3,1,3.0,1.0,8.0,3,2,1,0,0,0,0,4
19,0.5,3,2,3.0,1.0,8.0,6,2,0,0,1,1,1,1
26,5.0,4,1,10.0,1.0,8.0,5,2,0,0,1,1,1,1
20,3.0,1,1,4.0,0.0,8.0,5,3,0,0,1,1,1,2
24,7.0,3,1,7.0,2.0,7.0,5,3,0,0,1,1,1,2
21,0.0,3,1,0.0,2.0,12.0,3,4,1,0,0,0,0,6
20,5.0,1,2,2.5,1.0,9.0,6,2,0,0,1,1,0,3
16,7.0,4,3,4.0,1.0,7.0,7,3,0,0,1,1,1,1
17,6.0,4,1,1.0,0.0,7.0,9,2,0,0,1,0,1,2
59,3.0,4,2,6.0,1.0,9.0,7,2,1,0,1,1,1,0
17,7.0,1,2,4.0,0.0,7.0,7,2,1,0,1,0,1,1
16,6.0,3,2,5.0,0.0,7.0,5,3,1,0,0,1,1,2
20,3.0,4,1,4.0,1.0,7.0,1,3,0,0,1,0,1,2
17,6.0,3,2,1.5,2.0,7.0,6,4,1,0,1,0,1,2
17,6.0,4,1,5.0,0.5,7.0,7,2,0,0,0,0,1,1
20,3.0,1,1,4.0,0.0,7.0,7,2,0,1,1,1,0,4
17,6.0,4,3,2.0,1.0,7.0,7,4,0,0,0,1,1,1
20,4.0,3,2,2.0,0.0,7.0,7,3,1,0,0,0,1,0
16,8.0,1,1,7.0,0.0,6.0,7,3,0,0,0,0,1,1
19,0.5,3,2,5.0,0.5,10.0,7,2,0,1,1,0,1,1
20,0.0,3,1,2.0,0.0,10.0,6,4,1,0,0,1,0,3
22,4.0,4,1,3.0,1.0,8.0,7,4,1,0,1,0,0,3
17,9.0,5,1,3.0,0.0,5.0,6,3,0,0,0,0,1,0
23,1.0,3,2,8.0,2.0,8.0,6,3,2,0,1,1,1,2
22,0.0,3,1,3.0,0.0,10.0,6,2,1,1,1,1,0,8
22,1.5,4,1,0.0,0.0,9.0,6,3,1,0,1,1,0,6
19,2.0,3,2,2.0,1.0,8.0,7,3,2,1,0,1,1,2
19,2.0,3,2,5.0,1.0,9.0,2,4,0,0,1,0,1,2
23,1.0,3,1,1.0,0.0,8.0,7,4,1,0,0,1,0,5
32,4.0,1,1,5.0,2.0,5.0,3,3,0,0,1,1,0,3
17,6.0,4,2,8.0,1.0,8.0,7,4,0,0,0,0,0,2
21,0.0,0,0,10.0,1.0,5.0,1,4,0,0,0,0,1,0
22,4.0,4,1,3.0,2.0,8.0,7,4,1,0,1,1,1,2
17,5.0,4,1,1.5,2.0,8.0,5,3,2,0,1,1,0,1
22,5.0,1,1,10.0,1.0,6.0,13,3,0,1,1,1,1,1
18,2.0,3,2,2.0,2.0,9.0,5,3,1,0,0,1,0,4
20,5.0,3,1,8.0,0.0,7.0,9,3,1,0,0,1,1,1
30,3.0,4,2,1.0,0.5,4.0,7,2,0,0,1,1,1,1
19,1.0,4,1,1.0,0.0,8.0,5,4,0,0,0,0,1,1
14,3.0,1,1,2.0,0.0,8.0,7,1,1,0,1,1,1,1
19,0.0,0,0,2.0,1.0,8.0,6,3,0,0,1,1,0,4
16,7.0,4,2,3.0,2.0,11.0,6,3,2,1,0,1,1,1
17,6.0,4,2,2.0,1.0,9.0,6,3,0,0,0,1,0,3
20,1.0,3,3,2.0,2.0,8.0,5,2,2,0,0,1,1,1
17,4.0,1,2,2.0,0.0,7.0,6,4,1,0,1,1,0,3
20,6.0,4,6,2.0,0.0,6.0,6,3,1,0,0,0,0,4
17,5.0,4,2,4.0,2.0,7.0,5,2,1,0,0,1,1,2
21,3.0,3,1,2.0,0.0,7.0,3,3,0,0,1,0,1,2
16,4.0,5,1,0.0,0.0,9.0,7,2,0,0,0,1,1,1
21,5.0,4,2,2.0,2.0,6.0,6,3,1,0,0,1,0,5
18,0.0,0,0,8.0,0.5,5.0,1,3,0,0,1,1,0,3
20,4.0,1,1,5.0,1.0,7.0,7,4,0,0,0,0,1,0
14,4.0,4,2,4.0,0.0,8.0,6,3,1,0,0,1,1,2
19,3.0,1,1,2.0,0.0,8.0,5,3,1,0,0,1,0,5
18,0.0,3,1,3.0,0.0,8.0,3,3,1,0,0,1,0,4
13,5.0,3,1,4.0,1.0,8.0,7,3,2,0,0,0,0,10
20,4.0,3,1,8.0,0.0,6.0,6,3,2,0,1,1,1,1
19,0.0,3,1,4.0,0.3,8.0,7,2,0,0,0,0,1,2
15,5.0,4,2,1.0,0.0,7.0,5,3,0,0,0,1,1,1
20,1.0,3,2,0.0,0.0,10.0,5,2,1,1,0,1,0,5
19,0.0,3,1,1.0,0.0,8.0,2,3,1,0,0,0,0,4
21,3.0,1,1,3.0,1.0,6.0,7,2,1,1,1,0,1,0
20,4.0,3,1,2.0,1.0,8.0,5,4,1,0,0,1,0,4
20,4.0,1,1,5.0,1.0,6.0,5,2,0,0,0,1,1,2
16,6.0,1,1,3.0,0.0,7.0,7,3,0,0,0,0,1,1
21,2.0,5,1,2.0,1.0,5.0,7,3,0,0,1,1,0,3
17,5.5,1,2,5.0,1.0,9.0,5,3,0,0,0,1,1,1
21,0.0,4,1,8.0,0.0,7.0,5,3,0,0,1,1,0,3
20,0.0,1,2,0.0,0.0,7.5,5,3,0,0,1,1,0,3
21,4.0,4,1,2.0,1.0,8.0,6,2,0,0,0,0,0,3
20,3.0,3,2,5.0,1.0,7.0,7,3,1,0,0,1,1,1
16,4.0,5,7,2.5,0.5,6.0,7,3,0,0,1,1,1,0
19,0.0,3,1,8.0,1.0,8.0,7,2,1,1,1,1,1,2
19,1.0,3,1,3.0,0.0,8.0,6,3,1,1,1,1,0,3
19,1.0,2,1,1.0,3.0,9.0,5,5,0,0,0,1,1,2
20,2.0,1,1,1.0,0.0,10.0,7,2,0,0,0,1,1,1
19,2.0,4,2,3.0,1.0,9.0,7,3,1,0,0,1,0,3
17,7.0,4,1,2.0,0.0,6.0,5,2,1,0,1,1,1,2
21,0.0,3,1,2.0,0.0,8.0,7,3,2,0,0,0,0,3
17,6.0,1,2,4.0,0.0,7.0,7,3,2,0,1,0,1,1
25,5.0,4,1,6.0,0.0,8.0,6,3,0,0,1,0,1,1
19,3.0,4,1,6.0,0.5,8.0,1,4,1,0,1,1,1,0
16,5.0,3,2,2.0,1.0,8.0,7,3,1,0,0,1,1,2
17,7.0,1,2,5.0,0.5,7.0,7,3,1,0,0,0,1,2
18,1.0,4,2,2.0,0.0,10.0,6,2,0,0,0,0,1,1
20,5.0,2,1,1.0,1.0,8.0,6,3,0,0,1,0,0,3
20,3.0,3,1,9.0,1.0,6.0,7,1,1,0,0,1,1,1
20,1.0,3,1,3.0,1.0,9.0,6,2,1,0,1,1,0,4
22,3.0,4,2,3.0,0.0,8.0,6,3,1,0,0,0,1,2
16,7.0,2,3,2.0,1.0,6.0,7,3,2,0,1,0,1,2
19,2.0,3,1,1.0,1.0,7.0,6,4,0,0,0,1,0,5
17,9.0,4,1,5.0,1.0,6.0,5,3,2,0,1,0,1,1
20,0.0,4,1,1.0,0.0,9.0,7,4,0,1,1,1,0,5
21,0.0,3,1,6.0,0.0,6.0,5,3,1,0,0,1,0,4
19,2.0,3,1,3.0,1.0,8.0,6,4,0,0,1,1,1,1
17,8.0,3,2,2.0,1.0,9.0,7,3,0,0,0,0,1,0
25,1.0,4,1,3.0,1.0,7.0,7,3,1,0,0,1,0,3
20,3.0,4,2,2.0,0.5,8.0,7,3,0,0,0,1,0,3
21,0.0,3,0,1.0,0.0,10.0,6,3,0,0,0,0,0,3
19,5.0,2,2,5.0,1.0,7.0,5,3,1,0,0,1,0,2
23,5.0,4,2,5.0,1.0,8.0,7,3,0,0,1,1,1,1
22,2.0,4,1,8.0,1.0,8.0,1,2,0,0,1,0,1,2
22,4.0,4,1,1.0,1.0,8.0,5,3,1,0,1,0,0,4
18,0.0,0,0,1.0,1.0,12.0,6,3,0,0,1,1,0,4
21,3.0,4,1,3.0,2.0,6.5,5,2,1,0,0,1,1,2
22,1.0,4,2,3.0,1.0,8.0,6,2,2,1,0,0,1,1
24,3.0,3,1,4.0,0.0,6.0,7,3,0,0,0,0,0,3
14,3.0,4,3,6.0,3.0,7.0,6,2,0,0,1,1,0,3
16,4.0,3,2,3.0,0.0,8.0,5,4,0,0,1,0,0,4
19,1.0,4,1,3.0,2.0,7.0,6,2,0,1,0,0,1,1
21,5.0,3,1,3.0,2.0,10.0,5,3,1,1,1,0,0,6
17,2.0,4,1,5.0,0.0,8.0,5,3,0,0,1,0,0,4
16,4.0,1,2,2.0,0.5,9.0,6,3,1,0,0,1,1,1
29,8.0,1,1,2.0,1.0,8.0,6,4,0,0,0,0,1,0
26,1.0,1,1,4.0,0.0,6.0,3,3,0,0,0,1,0,6
21,5.0,3,2,2.0,1.0,12.0,6,4,1,0,1,0,1,2
18,0.0,3,2,0.0,2.0,7.0,6,4,1,0,1,1,0,6
19,3.0,3,2,0.0,0.0,12.0,6,3,2,0,0,0,0,5
21,2.0,4,1,2.0,1.0,10.0,5,3,0,0,1,0,1,2
12,1.0,1,1,3.0,2.0,8.0,5,4,1,0,1,1,1,2
26,0.0,3,2,1.0,1.0,7.0,7,2,2,0,0,1,1,1
20,6.0,3,1,6.0,0.0,6.0,7,4,1,0,0,1,0,3
16,4.0,3,2,2.0,1.0,9.0,5,2,2,0,0,0,1,2
21,0.0,4,1,2.0,0.0,10.0,2,3,1,0,1,0,0,5
21,5.0,4,1,2.0,0.0,8.0,7,2,1,0,0,1,1,0
20,6.0,4,1,4.0,0.0,7.0,1,3,1,0,1,1,1,1
21,0.0,3,1,2.0,1.0,7.0,6,4,0,1,1,0,1,1
21,2.0,4,2,2.0,1.0,7.0,7,3,0,0,1,0,0,1
19,1.0,3,1,0.0,0.0,12.0,6,2,0,0,0,0,0,10
21,2.0,4,1,2.0,0.0,8.0,6,3,0,1,0,1,1,2
14,5.0,4,2,2.3,0.0,8.0,5,2,0,0,1,1,0,2
22,1.0,4,1,2.0,0.0,11.0,7,2,1,1,0,0,0,3
19,2.0,4,2,2.5,0.0,9.0,3,3,0,0,0,0,1,2
18,4.0,4,2,1.0,1.0,12.0,6,2,1,0,0,1,1,1
16,8.0,4,1,6.0,0.0,6.0,5,4,0,0,1,0,1,1
43,2.0,4,2,0.0,1.0,6.0,3,3,1,0,0,1,1,2
15,4.0,3,3,10.0,0.0,8.0,2,3,0,0,0,1,1,1
32,1.0,3,1,10.0,1.0,8.0,2,3,1,0,1,1,1,2
15,3.0,1,1,3.0,1.0,7.0,5,2,1,0,1,1,1,1
22,0.0,0,0,5.0,1.0,7.0,5,4,1,0,0,1,1,2
16,4.0,4,0,4.0,1.0,6.0,7,3,1,0,1,1,1,1
21,2.0,3,0,4.0,0.0,9.0,7,4,0,0,0,1,1,2
14,5.0,1,0,2.0,1.0,9.0,7,4,1,0,0,1,1,1
19,2.0,3,0,1.0,1.0,11.0,7,2,1,0,0,0,0,3
18,1.5,4,0,2.0,1.0,8.0,7,2,0,0,1,1,1,1
11,4.0,4,0,2.0,2.0,10.0,7,4,0,0,0,1,0,1
24,0.5,4,0,2.0,0.0,8.0,6,3,0,0,1,1,1,1
21,3.0,4,1,3.0,1.0,8.0,6,3,1,0,0,1,1,2
15,5.0,4,2,3.0,3.0,8.0,6,3,0,0,1,1,0,3
34,2.0,4,1,3.0,1.0,7.0,2,3,0,0,1,1,1,2
17,0.75,4,2,5.0,1.0,6.0,5,1,1,1,0,1,1,2
12,1.0,2,2,2.0,1.0,9.0,5,3,1,0,1,1,1,2
16,1.0,4,2,2.0,1.0,7.0,7,3,0,0,0,1,0,2
17,7.0,4,1,8.0,1.0,6.0,7,3,1,0,1,1,1,1
14,2.5,1,2,1.0,0.5,6.0,5,2,2,0,1,1,1,2
16,4.0,4,2,5.0,1.0,6.0,7,2,0,0,1,0,1,2
13,2.0,2,2,1.0,3.0,11.0,5,4,1,0,0,1,0,3
23,0.0,4,1,2.0,0.0,7.0,1,3,0,0,1,0,0,3
21,6.0,3,2,0.0,1.0,7.0,6,4,1,0,1,1,0,4
31,4.0,2,1,2.0,1.0,8.0,3,3,1,0,1,0,1,1
23,5.0,2,2,1.0,1.0,9.0,7,4,2,0,1,1,1,2
